step,survival_probability,expected_alive_1e3,expected_alive_1e4,expected_alive_1e5,expected_alive_1e6,expected_alive_1e7
302,0.0025,2.5,25.0,250.0,2500.0,25000.0
303,0.0023,2.3,23.0,230.0,2300.0,23000.0
304,0.0023,2.3,23.0,230.0,2300.0,23000.0
305,0.0023,2.3,23.0,230.0,2300.0,23000.0
306,0.0022,2.2,22.0,220.0,2200.0,22000.0
307,0.0022,2.2,22.0,220.0,2200.0,22000.0
308,0.0022,2.2,22.0,220.0,2200.0,22000.0
309,0.0022,2.2,22.0,220.0,2200.0,22000.0
310,0.0022,2.2,22.0,220.0,2200.0,22000.0
311,0.002,2.0,20.0,200.0,2000.0,20000.0
312,0.002,2.0,20.0,200.0,2000.0,20000.0
313,0.0018,1.8,18.0,180.0,1800.0,18000.0
314,0.0018,1.8,18.0,180.0,1800.0,18000.0
315,0.0017,1.7,17.0,170.0,1700.0,17000.0
316,0.0017,1.7,17.0,170.0,1700.0,17000.0
317,0.0017,1.7,17.0,170.0,1700.0,17000.0
318,0.0016,1.6,16.0,160.0,1600.0,16000.0
319,0.0016,1.6,16.0,160.0,1600.0,16000.0
320,0.0015,1.5,15.0,150.0,1500.0,15000.0
321,0.0015,1.5,15.0,150.0,1500.0,15000.0
322,0.0015,1.5,15.0,150.0,1500.0,15000.0
323,0.0015,1.5,15.0,150.0,1500.0,15000.0
324,0.0015,1.5,15.0,150.0,1500.0,15000.0
325,0.0015,1.5,15.0,150.0,1500.0,15000.0
326,0.0015,1.5,15.0,150.0,1500.0,15000.0
327,0.0015,1.5,15.0,150.0,1500.0,15000.0
328,0.0014,1.4,14.0,140.0,1400.0,14000.0
329,0.0014,1.4,14.0,140.0,1400.0,14000.0
330,0.0014,1.4,14.0,140.0,1400.0,14000.0
331,0.0013,1.3,13.0,130.0,1300.0,13000.0
332,0.0013,1.3,13.0,130.0,1300.0,13000.0
333,0.0013,1.3,13.0,130.0,1300.0,13000.0
334,0.0013,1.3,13.0,130.0,1300.0,13000.0
335,0.0013,1.3,13.0,130.0,1300.0,13000.0
336,0.0013,1.3,13.0,130.0,1300.0,13000.0
337,0.0012,1.2,11.999999999999998,119.99999999999999,1200.0,11999.999999999998
338,0.0011,1.1,11.0,110.0,1100.0,11000.0
339,0.0011,1.1,11.0,110.0,1100.0,11000.0
340,0.001,1.0,10.0,100.0,1000.0,10000.0
341,0.001,1.0,10.0,100.0,1000.0,10000.0
342,0.001,1.0,10.0,100.0,1000.0,10000.0
343,0.0008,0.8,8.0,80.0,800.0,8000.0
344,0.0008,0.8,8.0,80.0,800.0,8000.0
345,0.0008,0.8,8.0,80.0,800.0,8000.0
346,0.0008,0.8,8.0,80.0,800.0,8000.0
347,0.0008,0.8,8.0,80.0,800.0,8000.0
348,0.0008,0.8,8.0,80.0,800.0,8000.0
349,0.0008,0.8,8.0,80.0,800.0,8000.0
350,0.0008,0.8,8.0,80.0,800.0,8000.0
351,0.0008,0.8,8.0,80.0,800.0,8000.0
352,0.0008,0.8,8.0,80.0,800.0,8000.0
353,0.0008,0.8,8.0,80.0,800.0,8000.0
354,0.0008,0.8,8.0,80.0,800.0,8000.0
355,0.0008,0.8,8.0,80.0,800.0,8000.0
356,0.0008,0.8,8.0,80.0,800.0,8000.0
357,0.0008,0.8,8.0,80.0,800.0,8000.0
358,0.0008,0.8,8.0,80.0,800.0,8000.0
359,0.0008,0.8,8.0,80.0,800.0,8000.0
360,0.0008,0.8,8.0,80.0,800.0,8000.0
361,0.0008,0.8,8.0,80.0,800.0,8000.0
362,0.0007,0.7,7.0,70.0,700.0,7000.0
363,0.0007,0.7,7.0,70.0,700.0,7000.0
364,0.0007,0.7,7.0,70.0,700.0,7000.0
365,0.0007,0.7,7.0,70.0,700.0,7000.0
366,0.0007,0.7,7.0,70.0,700.0,7000.0
367,0.0007,0.7,7.0,70.0,700.0,7000.0
368,0.0007,0.7,7.0,70.0,700.0,7000.0
369,0.0006,0.6,5.999999999999999,59.99999999999999,600.0,5999.999999999999
370,0.0006,0.6,5.999999999999999,59.99999999999999,600.0,5999.999999999999
371,0.0006,0.6,5.999999999999999,59.99999999999999,600.0,5999.999999999999
372,0.0006,0.6,5.999999999999999,59.99999999999999,600.0,5999.999999999999
373,0.0006,0.6,5.999999999999999,59.99999999999999,600.0,5999.999999999999
374,0.0006,0.6,5.999999999999999,59.99999999999999,600.0,5999.999999999999
