trial,final_step,trapped,boundary_dead,contact_dead
579,38,1,0,0
580,26,1,0,0
581,25,1,0,0
582,11,1,0,0
583,23,1,0,0
584,26,1,0,0
585,78,1,0,0
586,131,1,0,0
587,221,1,0,0
588,59,1,0,0
589,46,1,0,0
590,49,1,0,0
591,91,1,0,0
592,69,1,0,0
593,50,1,0,0
594,133,1,0,0
595,25,1,0,0
596,39,1,0,0
597,40,1,0,0
598,64,1,0,0
599,9,1,0,0
600,35,1,0,0
601,95,1,0,0
602,88,1,0,0
603,67,1,0,0
604,78,1,0,0
605,44,1,0,0
606,172,1,0,0
607,66,1,0,0
608,118,1,0,0
609,11,1,0,0
610,96,1,0,0
611,45,1,0,0
612,109,1,0,0
613,16,1,0,0
614,33,1,0,0
615,73,1,0,0
616,128,1,0,0
617,33,1,0,0
618,71,1,0,0
619,66,1,0,0
620,57,1,0,0
621,16,1,0,0
622,20,1,0,0
623,30,1,0,0
624,218,1,0,0
625,13,1,0,0
626,87,1,0,0
627,102,1,0,0
628,74,1,0,0
629,92,1,0,0
630,16,1,0,0
631,38,1,0,0
632,93,1,0,0
633,38,1,0,0
634,30,1,0,0
635,118,1,0,0
636,31,1,0,0
637,29,1,0,0
638,99,1,0,0
639,11,1,0,0
640,75,1,0,0
641,44,1,0,0
642,30,1,0,0
643,104,1,0,0
644,48,1,0,0
645,73,1,0,0
646,64,1,0,0
647,45,1,0,0
648,166,1,0,0
649,16,1,0,0
650,13,1,0,0
651,101,1,0,0
652,30,1,0,0
653,27,1,0,0
654,89,1,0,0
655,57,1,0,0
656,70,1,0,0
657,50,1,0,0
658,41,1,0,0
659,30,1,0,0
660,68,1,0,0
661,84,1,0,0
662,166,1,0,0
663,75,1,0,0
664,16,1,0,0
665,114,1,0,0
666,227,1,0,0
667,45,1,0,0
668,60,1,0,0
669,49,1,0,0
670,52,1,0,0
671,75,1,0,0
672,71,1,0,0
673,137,1,0,0
674,57,1,0,0
675,15,1,0,0
676,112,1,0,0
677,62,1,0,0
678,133,1,0,0
679,159,1,0,0
680,69,1,0,0
681,109,1,0,0
682,82,1,0,0
683,44,1,0,0
684,26,1,0,0
685,23,1,0,0
686,30,1,0,0
687,40,1,0,0
688,86,1,0,0
689,79,1,0,0
690,59,1,0,0
691,163,1,0,0
692,76,1,0,0
693,59,1,0,0
694,83,1,0,0
695,123,1,0,0
696,88,1,0,0
697,81,1,0,0
698,236,1,0,0
699,57,1,0,0
700,77,1,0,0
701,66,1,0,0
702,102,1,0,0
703,19,1,0,0
704,50,1,0,0
705,17,1,0,0
706,161,1,0,0
707,41,1,0,0
708,13,1,0,0
709,46,1,0,0
710,100,1,0,0
711,60,1,0,0
712,27,1,0,0
713,56,1,0,0
714,83,1,0,0
715,134,1,0,0
716,207,1,0,0
717,15,1,0,0
718,195,1,0,0
719,84,1,0,0
720,30,1,0,0
721,78,1,0,0
722,60,1,0,0
723,111,1,0,0
724,166,1,0,0
725,100,1,0,0
726,15,1,0,0
727,40,1,0,0
728,31,1,0,0
729,138,1,0,0
730,54,1,0,0
731,66,1,0,0
732,16,1,0,0
733,49,1,0,0
734,36,1,0,0
735,84,1,0,0
736,36,1,0,0
737,39,1,0,0
738,61,1,0,0
